,name,vicinity,Latitude,Longitude,rating,types,business_status
58,Red Room Sydney,"80 Pyrmont Street, Pyrmont",-33.868221500000004,151.1953756,3.8,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
59,HQ Living,"Shop 5 Ground Floor, Supa Centa, 2 Todman Avenue, Moore Park",-33.90227410000001,151.215242,4.3,"[""furniture_store"",""night_club"",""home_goods_store"",""bar"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
60,CHiLLi PiP - Custom made lounges in Sydney.,"135 Victoria Road, Marrickville",-33.9065092,151.1646601,4.9,"[""night_club"",""furniture_store"",""home_goods_store"",""bar"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
61,Black Express Light and Sound,"717 Princes Highway, Tempe",-33.923784600000005,151.1614622,4.8,"[""night_club"",""electronics_store"",""home_goods_store"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
62,Nortons On Norton,"393 Parramatta Road, Leichhardt",-33.88808030000001,151.1577501,2.6,"[""bar"",""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
63,Riverview Pinup Pub Tempe,"900 Princes Highway, Tempe",-33.926328600000005,151.1592735,3.3,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
64,Holey Moley Golf Club Newtown,"387 King Street, Newtown",-33.89955560000001,151.177675,4.2,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
65,Cafe Claire,"Shop 3/2 Young Street, Annandale",-33.8877182,151.16489019999997,4.3,"[""cafe"",""night_club"",""bakery"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
66,Elegant Interior 1,"80-84 Parramatta Road, Stanmore",-33.88804199999999,151.169823,,"[""laundry"",""night_club"",""furniture_store"",""home_goods_store"",""bar"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
67,The Imperial Erskineville,"35 Erskineville Road, Erskineville",-33.899141799999995,151.1826122,4.4,"[""restaurant"",""night_club"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
68,Pablito’s Milonga,"336 Marrickville Road, Marrickville",-33.908597,151.15215700000002,,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
69,Luvstuff Adult Shop,"1/214 Marrickville Road, Marrickville",-33.9120117,151.159073,3.0,"[""night_club"",""bar"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
70,The Marrickvilla,"Victoria Road, Marrickville",-33.9119771,151.1591564,,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
71,Ruby's Dance Hall,"14 Cadogan Street, Marrickville",-33.9106836,151.1652777,4.6,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
72,Jangos,"19 Marrickville Road, Marrickville",-33.914891499999996,151.1642861,,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
73,Slime House,"83 Enmore Road, Newtown",-33.898481700000005,151.1747418,5.0,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
74,Bedford St Tunnel,"Unnamed Road, Enmore",-33.8965311,151.1733382,3.0,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
75,Coiaba Crew’s house,"Arncliffe Street, Wolli Creek",-33.9322936,151.15074819999998,3.0,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
