_id,business_status,geometry.location.lat,geometry.location.lng,name,place_id,rating,types,user_ratings_total,vicinity
5f7df87ef9ea96e61672dcbb,OPERATIONAL,-33.890158,151.146791,Lewisham Hotel,ChIJF05ocgywEmsRrBYblH7D8xg,3.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",88,"794 Parramatta Road, Lewisham"
5f7dfbe4f9ea96e61672dcbc,OPERATIONAL,-33.870803,151.2075484,QT Sydney,ChIJK6RwVT6uEmsRQ447JSUTGGI,4.6,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",1299,"49 Market Street, Sydney"
5f7dfbe4f9ea96e61672dcbd,OPERATIONAL,-33.8622576,151.2128469,Sir Stamford at Circular Quay,ChIJ2X1PrGmuEmsRrgRKqd4bb9I,4.4,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",855,"93 Macquarie Street, Sydney"
5f7dfbe4f9ea96e61672dcbe,OPERATIONAL,-33.8823787,151.2046676,Wake Up! Sydney,ChIJ1_5Y_yOuEmsRU3ORQg0SYpg,4.4,"[""night_club"",""cafe"",""travel_agency"",""lodging"",""bar"",""food"",""point_of_interest"",""establishment""]",1313,"509 Pitt Street, Sydney"
5f7dfbe4f9ea96e61672dcbf,OPERATIONAL,-33.864458,151.2062952,Amora Hotel,ChIJa51FEUGuEmsRIXRtDjLFQXM,4.4,"[""spa"",""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",1745,"11 Jamison Street, Sydney"
5f7dfbe4f9ea96e61672dcc0,OPERATIONAL,-33.872522,151.2090122,Castlereagh Boutique Hotel,ChIJp2HsPT6uEmsRskGgtjLmnLc,3.9,"[""cafe"",""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",439,"169 Castlereagh Street, Sydney"
5f7dfbe4f9ea96e61672dcc1,OPERATIONAL,-33.8648016,151.2054365,Travelodge Hotel Sydney Wynyard,ChIJDTwzJEGuEmsRw4ifQGYDkww,3.8,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",1154,"7-9 York Street, Sydney"
5f7dfbe4f9ea96e61672dcc2,OPERATIONAL,-33.8686943,151.2203979,Ovolo Woolloomooloo,ChIJRy5QoG2uEmsRHd7ei8FFwB0,4.6,"[""lodging"",""bar"",""point_of_interest"",""establishment""]",1195,"6 Cowper Wharf Roadway, Woolloomooloo"
5f7dfbe4f9ea96e61672dcc3,OPERATIONAL,-33.8726709,151.1970516,Ovolo 1888 Darling Harbour,ChIJDYVQjTCuEmsR1SM4FSwgh6c,4.7,"[""lodging"",""bar"",""point_of_interest"",""establishment""]",672,"139 Murray Street, Pyrmont"
5f7dfbe4f9ea96e61672dcc4,OPERATIONAL,-33.8732102,151.2049944,Base Backpackers Sydney,ChIJKwL_BDyuEmsROVMxBbEOOnk,3.8,"[""travel_agency"",""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",814,"477 Kent Street, Sydney"
