LC_PLY_PID,DT_CREATE,DT_RETIRE,LOC_PID,NAME,POSTCODE,PRIM_PCODE,LOCCL_CODE,DT_GAZETD,STATE_PID
18748,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW776,CAMBALONG,,,G,"""1899-11-30T00:00:00.000Z""",1
18749,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3120,OOTHA,,,G,"""1899-11-30T00:00:00.000Z""",1
18644,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2872,MUNYABLA,,,G,"""1899-11-30T00:00:00.000Z""",1
18857,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4027,TWENTY FORESTS,,,G,"""1899-11-30T00:00:00.000Z""",1
18860,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1447,ERIN VALE,,,G,"""1899-11-30T00:00:00.000Z""",1
18867,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2227,KREMNOS,,,G,"""1899-11-30T00:00:00.000Z""",1
27020,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW5054,MOORARA,,,G,"""1899-11-30T00:00:00.000Z""",1
8020,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW465,BOMBOWLEE CREEK,,,G,"""1899-11-30T00:00:00.000Z""",1
18652,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1592,FULLERTON,,,G,"""1899-11-30T00:00:00.000Z""",1
29864,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1673,GLENBAWN,,,G,"""1899-11-30T00:00:00.000Z""",1
26740,"""2016-09-12T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2183,KINGSTOWN,,,G,"""1899-11-30T00:00:00.000Z""",1
11034,"""2016-09-12T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW5116,RENO,,,G,"""1899-11-30T00:00:00.000Z""",1
20525,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3013,NORTH CASINO,,,G,"""1899-11-30T00:00:00.000Z""",1
10755,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW58,ANGOURIE,,,G,"""1899-11-30T00:00:00.000Z""",1
31034,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1157,CUDMIRRAH,,,G,"""1899-11-30T00:00:00.000Z""",1
31052,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW314,BERRARA,,,G,"""1899-11-30T00:00:00.000Z""",1
11654,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4398,WOMBEYAN CAVES,,,G,"""1899-11-30T00:00:00.000Z""",1
26478,"""2016-09-12T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW599,BROKEN HILL,,,G,"""1899-11-30T00:00:00.000Z""",1
28991,"""2018-06-07T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2918,NAPIER LANE,,,G,"""1899-11-30T00:00:00.000Z""",1
26732,"""2016-09-12T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1892,HAY,,,G,"""1899-11-30T00:00:00.000Z""",1
11666,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4068,UPPER KARUAH RIVER,,,G,"""1899-11-30T00:00:00.000Z""",1
11668,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2599,MERNOT,,,G,"""1899-11-30T00:00:00.000Z""",1
31040,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2547,MAULES CREEK,,,G,"""1899-11-30T00:00:00.000Z""",1
26868,"""2016-09-12T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3933,TOMINGLEY,,,G,"""1899-11-30T00:00:00.000Z""",1
31082,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2911,NADGEE,,,G,"""1899-11-30T00:00:00.000Z""",1
26799,"""2016-09-12T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW189,BARADINE,,,G,"""1899-11-30T00:00:00.000Z""",1
31094,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2412,LORDS HILL,,,G,"""1899-11-30T00:00:00.000Z""",1
31100,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3327,QUIPOLLY,,,G,"""1899-11-30T00:00:00.000Z""",1
30873,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4179,WARDELL,,,G,"""1899-11-30T00:00:00.000Z""",1
28518,"""2018-06-07T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1353,DUVAL,,,G,"""1899-11-30T00:00:00.000Z""",1
31277,"""2020-06-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3079,NYORA,,,G,"""1899-11-30T00:00:00.000Z""",1
31290,"""2020-06-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2696,MONDAYONG,,,G,"""1899-11-30T00:00:00.000Z""",1
31291,"""2020-06-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4331,WILLIAMTOWN,,,G,"""1899-11-30T00:00:00.000Z""",1
31301,"""2020-06-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1915,HERONS CREEK,,,G,"""1899-11-30T00:00:00.000Z""",1
31312,"""2020-06-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3621,SOUTH KEMPSEY,,,G,"""1899-11-30T00:00:00.000Z""",1
31391,"""2020-06-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3212,PENROSE,,,G,"""1899-11-30T00:00:00.000Z""",1
31392,"""2020-06-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1493,EXETER,,,G,"""1899-11-30T00:00:00.000Z""",1
31393,"""2020-06-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW681,BUNDANOON,,,G,"""1899-11-30T00:00:00.000Z""",1
31395,"""2020-06-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2533,MARTINSVILLE,,,G,"""1899-11-30T00:00:00.000Z""",1
31396,"""2020-06-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1065,COORANBONG,,,G,"""1899-11-30T00:00:00.000Z""",1
31402,"""2020-06-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3527,SAUMAREZ PONDS,,,G,"""1899-11-30T00:00:00.000Z""",1
31411,"""2020-06-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4003,TUMUT,,,G,"""1899-11-30T00:00:00.000Z""",1
25024,"""2015-09-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3405,ROBIN HILL,,,G,"""1899-11-30T00:00:00.000Z""",1
30878,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1943,HOLROYD,,,G,"""1899-11-30T00:00:00.000Z""",1
30914,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3386,RHODES,,,G,"""1899-11-30T00:00:00.000Z""",1
30935,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW194,BARDWELL VALLEY,,,G,"""1899-11-30T00:00:00.000Z""",1
30938,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1307,DRUMMOYNE,,,G,"""1899-11-30T00:00:00.000Z""",1
30957,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2745,MORISSET PARK,,,G,"""1899-11-30T00:00:00.000Z""",1
30981,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW46,ALSTONVILLE,,,G,"""1899-11-30T00:00:00.000Z""",1
30982,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4389,WOLLONGBAR,,,G,"""1899-11-30T00:00:00.000Z""",1
30986,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2790,MOUNT KEIRA,,,G,"""1899-11-30T00:00:00.000Z""",1
8184,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2193,KIRKCONNELL,,,G,"""1899-11-30T00:00:00.000Z""",1
20896,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3096,OBANVALE,,,G,"""1899-11-30T00:00:00.000Z""",1
25481,"""2015-12-01T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW431,BOBADAH,,,G,"""1899-11-30T00:00:00.000Z""",1
14280,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3382,RETREAT,,,G,"""1899-11-30T00:00:00.000Z""",1
20482,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW602,BROOKDALE,,,G,"""1899-11-30T00:00:00.000Z""",1
26713,"""2016-09-12T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4171,WANTABADGERY,,,G,"""1899-11-30T00:00:00.000Z""",1
20347,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1643,GILMANDYKE,,,G,"""1899-11-30T00:00:00.000Z""",1
30317,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4447,WOONONA,,,G,"""1899-11-30T00:00:00.000Z""",1
